,Hospital_ID,District_ID,Instrument_ID,Year_total_HD,Year_total_HI,Year_total_DI,Instument_Count,Annual_Projected_Revenue,Buy_or_not
24,Hospital 1003,District 28,Instrument 2,50564.4,91292.8,43563.67746686303,5.0,146016,1
25,Hospital 1003,District 28,Instrument 3,50564.4,4386.35294117647,8155.575221238938,5.0,33726,1
26,Hospital 1003,District 28,Instrument 4,50564.4,7507.333333333333,5271.008595988539,5.0,93912,1
27,Hospital 1003,District 34,Instrument 2,1890.2,91292.8,13357.081534772182,5.0,2532,1
28,Hospital 1003,District 34,Instrument 3,1890.2,4386.35294117647,3073.4128205128204,5.0,1782,1
29,Hospital 1003,District 34,Instrument 4,1890.2,7507.333333333333,2052.9470588235295,5.0,300,1
30,Hospital 1003,District 34,Instrument 7,1890.2,12121.5,20523.526829268292,5.0,840,1
31,Hospital 1003,District 39,Instrument 2,57835.25,91292.8,39004.34179357022,4.0,426,1
32,Hospital 1003,District 50,Instrument 2,78761.8,91292.8,174719.4918918919,5.0,62821,1
33,Hospital 1003,District 50,Instrument 3,78761.8,4386.35294117647,22842.88888888889,5.0,112170,1
34,Hospital 1003,District 50,Instrument 5,78761.8,28398.0,150119.26628895185,5.0,183814,1
35,Hospital 1004,District 17,Instrument 2,165111.0,123613.125,28658.620087336243,5.0,218872,1
36,Hospital 1004,District 20,Instrument 3,129.25,22852.0,36082.17345597898,4.0,552,1
37,Hospital 1004,District 34,Instrument 2,7676.6,123613.125,13357.081534772182,5.0,1848,1
38,Hospital 1004,District 34,Instrument 3,7676.6,22852.0,3073.4128205128204,5.0,1806,1
39,Hospital 1006,District 10,Instrument 7,9225.5,13999.0,20745.868686868685,6.0,30337,1
40,Hospital 1006,District 12,Instrument 2,191909.0,72692.2,88169.7528957529,1.0,229343,1
41,Hospital 1006,District 13,Instrument 2,98144.25,72692.2,126076.28636363636,4.0,609207,1
42,Hospital 1006,District 15,Instrument 5,8349.5,6654.285714285715,4594.217948717948,4.0,4500,1
43,Hospital 1006,District 20,Instrument 2,12980.2,72692.2,31891.211143695014,5.0,102430,1
44,Hospital 1006,District 28,Instrument 2,13346.0,72692.2,43563.67746686303,5.0,24824,1
45,Hospital 1006,District 28,Instrument 3,13346.0,9952.142857142857,8155.575221238938,5.0,9030,1
46,Hospital 1006,District 3,Instrument 2,65198.0,72692.2,43906.408602150535,1.0,110746,1
47,Hospital 1006,District 32,Instrument 2,7466.4,72692.2,10887.244655581948,5.0,71393,1
48,Hospital 1006,District 32,Instrument 3,7466.4,9952.142857142857,3088.306629834254,5.0,102,1
49,Hospital 1006,District 34,Instrument 3,4504.0,9952.142857142857,3073.4128205128204,5.0,8772,1
50,Hospital 1006,District 41,Instrument 3,20278.666666666668,9952.142857142857,26894.46508379888,3.0,2834,1
51,Hospital 1006,District 50,Instrument 2,121061.5,72692.2,174719.4918918919,2.0,254549,1
52,Hospital 1007,District 20,Instrument 2,4166.8,17000.25,31891.211143695014,5.0,2009,1
53,Hospital 1007,District 20,Instrument 3,4166.8,1698.0,36082.17345597898,5.0,2878,1
54,Hospital 1007,District 20,Instrument 7,4166.8,137.5,7843.473584905661,5.0,234,1
55,Hospital 1007,District 34,Instrument 2,157.6,17000.25,13357.081534772182,5.0,300,1
56,Hospital 1007,District 34,Instrument 3,157.6,1698.0,3073.4128205128204,5.0,180,1
57,Hospital 1007,District 39,Instrument 2,15025.5,17000.25,39004.34179357022,4.0,16039,1
58,Hospital 1007,District 8,Instrument 2,7625.0,17000.25,10836.834008097167,2.0,139560,1
59,Hospital 1008,District 13,Instrument 2,9555.6,30506.4,126076.28636363636,5.0,7344,1
60,Hospital 1008,District 13,Instrument 3,9555.6,9617.777777777777,25765.941964285714,5.0,7452,1
61,Hospital 1008,District 20,Instrument 2,27370.4,30506.4,31891.211143695014,5.0,23491,1
62,Hospital 1008,District 20,Instrument 3,27370.4,9617.777777777777,36082.17345597898,5.0,36995,1
63,Hospital 1008,District 28,Instrument 2,27333.166666666668,30506.4,43563.67746686303,6.0,304776,1
64,Hospital 1008,District 28,Instrument 3,27333.166666666668,9617.777777777777,8155.575221238938,6.0,4608,1
65,Hospital 1008,District 34,Instrument 2,7264.2,30506.4,13357.081534772182,5.0,80658,1
66,Hospital 1008,District 34,Instrument 3,7264.2,9617.777777777777,3073.4128205128204,5.0,7716,1
67,Hospital 1009,District 28,Instrument 5,11723.0,512.0,4642.685344827586,6.0,34955,1
68,Hospital 101,District 13,Instrument 3,67386.0,5948.2,25765.941964285714,4.0,75180,1
69,Hospital 101,District 13,Instrument 5,67386.0,85813.66666666667,56086.90536723164,4.0,285078,1
70,Hospital 101,District 20,Instrument 2,7475.75,7864.75,31891.211143695014,4.0,18630,1
71,Hospital 101,District 20,Instrument 3,7475.75,5948.2,36082.17345597898,4.0,12450,1
72,Hospital 101,District 34,Instrument 2,3555.285714285714,7864.75,13357.081534772182,7.0,14280,1
73,Hospital 101,District 34,Instrument 3,3555.285714285714,5948.2,3073.4128205128204,7.0,10200,1
74,Hospital 101,District 34,Instrument 5,3555.285714285714,85813.66666666667,3254.006896551724,7.0,4200,1
75,Hospital 101,District 34,Instrument 7,3555.285714285714,9602.0,20523.526829268292,7.0,8700,1
76,Hospital 1010,District 17,Instrument 2,11656.0,216383.33333333334,28658.620087336243,4.0,16577,1
77,Hospital 1010,District 18,Instrument 2,29274.333333333332,216383.33333333334,102427.68189509306,6.0,53145,1
78,Hospital 1010,District 20,Instrument 2,8598.5,216383.33333333334,31891.211143695014,4.0,3616,1
79,Hospital 1010,District 20,Instrument 3,8598.5,14329.0,36082.17345597898,4.0,1404,1
80,Hospital 1010,District 44,Instrument 3,24034.0,14329.0,21512.004587155963,3.0,168,1
81,Hospital 1011,District 32,Instrument 2,11671.0,29908.25,10887.244655581948,6.0,6600,1
82,Hospital 1011,District 32,Instrument 3,11671.0,4049.5,3088.306629834254,6.0,175,1
83,Hospital 1011,District 41,Instrument 2,1696.75,29908.25,15395.28094302554,4.0,4998,1
84,Hospital 1011,District 41,Instrument 3,1696.75,4049.5,26894.46508379888,4.0,1296,1
85,Hospital 1013,District 13,Instrument 2,10940.5,13296.333333333334,126076.28636363636,4.0,270,1
86,Hospital 1013,District 13,Instrument 3,10940.5,45.0,25765.941964285714,4.0,12047,1
87,Hospital 1013,District 13,Instrument 4,10940.5,418.5,21466.09442724458,4.0,520,1
88,Hospital 1014,District 12,Instrument 3,21070.0,39160.1,22507.63245823389,1.0,119652,1
89,Hospital 1014,District 13,Instrument 3,21630.666666666668,39160.1,25765.941964285714,3.0,119865,1
90,Hospital 1014,District 13,Instrument 4,21630.666666666668,11138.2,21466.09442724458,3.0,23094,1
91,Hospital 1014,District 15,Instrument 3,14150.5,39160.1,562.4619047619047,4.0,17908,1
92,Hospital 1014,District 15,Instrument 5,14150.5,4213.8,4594.217948717948,4.0,4800,1
93,Hospital 1014,District 17,Instrument 2,17591.5,61771.444444444445,28658.620087336243,2.0,20992,1
94,Hospital 1014,District 19,Instrument 2,28916.333333333332,61771.444444444445,27969.565476190477,3.0,25935,1
95,Hospital 1014,District 20,Instrument 2,50248.25,61771.444444444445,31891.211143695014,4.0,81888,1
96,Hospital 1014,District 28,Instrument 3,15554.0,39160.1,8155.575221238938,6.0,96810,1
97,Hospital 1014,District 28,Instrument 4,15554.0,11138.2,5271.008595988539,6.0,29016,1
98,Hospital 1014,District 3,Instrument 2,49171.0,61771.444444444445,43906.408602150535,1.0,21562,1
99,Hospital 1014,District 32,Instrument 2,17258.0,61771.444444444445,10887.244655581948,4.0,27000,1
100,Hospital 1014,District 32,Instrument 3,17258.0,39160.1,3088.306629834254,4.0,18000,1
101,Hospital 1014,District 34,Instrument 2,10720.75,61771.444444444445,13357.081534772182,4.0,11670,1
102,Hospital 1014,District 34,Instrument 3,10720.75,39160.1,3073.4128205128204,4.0,24474,1
103,Hospital 1014,District 34,Instrument 4,10720.75,11138.2,2052.9470588235295,4.0,1224,1
104,Hospital 1014,District 39,Instrument 2,25417.0,61771.444444444445,39004.34179357022,4.0,29712,1
105,Hospital 1014,District 4,Instrument 2,145204.0,61771.444444444445,61335.686930091186,1.0,136927,1
106,Hospital 1014,District 41,Instrument 3,67094.33333333333,39160.1,26894.46508379888,3.0,86193,1
107,Hospital 1014,District 44,Instrument 3,96594.0,39160.1,21512.004587155963,2.0,152586,1
108,Hospital 1014,District 50,Instrument 2,34254.0,61771.444444444445,174719.4918918919,6.0,157859,1
109,Hospital 1014,District 50,Instrument 3,34254.0,39160.1,22842.88888888889,6.0,48312,1
110,Hospital 1014,District 50,Instrument 4,34254.0,11138.2,99272.89873417722,6.0,55080,1
111,Hospital 1014,District 50,Instrument 5,34254.0,4213.8,150119.26628895185,6.0,27846,1
112,Hospital 1016,District 13,Instrument 2,202245.0,92000.5,126076.28636363636,6.0,524616,1
113,Hospital 1016,District 13,Instrument 3,202245.0,31193.6,25765.941964285714,6.0,701104,1
114,Hospital 1016,District 13,Instrument 4,202245.0,20109.0,21466.09442724458,6.0,48000,1
115,Hospital 1016,District 13,Instrument 5,202245.0,223287.0,56086.90536723164,6.0,2376,1
116,Hospital 1016,District 41,Instrument 3,9700.0,31193.6,26894.46508379888,2.0,3300,1
117,Hospital 1017,District 20,Instrument 2,2824.5,6553.333333333333,31891.211143695014,2.0,427,1
118,Hospital 1018,District 39,Instrument 2,26046.666666666668,66082.0,39004.34179357022,3.0,181,1
119,Hospital 1018,District 39,Instrument 4,26046.666666666668,8061.0,30865.62093862816,3.0,181,1
120,Hospital 1019,District 34,Instrument 2,1086.75,4323.5,13357.081534772182,4.0,900,1
121,Hospital 1019,District 41,Instrument 2,6688.25,4323.5,15395.28094302554,4.0,900,1
122,Hospital 102,District 13,Instrument 5,13475.25,81973.71428571429,56086.90536723164,4.0,67770,1
123,Hospital 102,District 15,Instrument 2,4003.75,73403.91666666667,7663.1949152542375,4.0,15336,1
124,Hospital 102,District 20,Instrument 2,1828.5,73403.91666666667,31891.211143695014,4.0,8280,1
125,Hospital 102,District 28,Instrument 2,21116.666666666668,73403.91666666667,43563.67746686303,6.0,118170,1
126,Hospital 102,District 28,Instrument 3,21116.666666666668,2314.076923076923,8155.575221238938,6.0,30656,1
127,Hospital 102,District 32,Instrument 5,2738.0,81973.71428571429,4146.619047619048,3.0,12000,1
128,Hospital 102,District 34,Instrument 2,1475.8333333333333,73403.91666666667,13357.081534772182,6.0,4518,1
129,Hospital 102,District 34,Instrument 3,1475.8333333333333,2314.076923076923,3073.4128205128204,6.0,918,1
130,Hospital 102,District 34,Instrument 4,1475.8333333333333,4203.4,2052.9470588235295,6.0,3216,1
131,Hospital 102,District 34,Instrument 5,1475.8333333333333,81973.71428571429,3254.006896551724,6.0,540,1
132,Hospital 102,District 34,Instrument 7,1475.8333333333333,41870.333333333336,20523.526829268292,6.0,600,1
133,Hospital 102,District 39,Instrument 2,10186.0,73403.91666666667,39004.34179357022,3.0,160,1
134,Hospital 102,District 48,Instrument 2,1496.3333333333333,73403.91666666667,11187.56,3.0,10200,1
135,Hospital 1021,District 21,Instrument 7,1441.0,5135.5,6395.890625,4.0,5400,1
136,Hospital 1021,District 39,Instrument 2,57711.0,23430.2,39004.34179357022,4.0,505304,1
137,Hospital 1022,District 20,Instrument 2,1034.0,87106.83333333333,31891.211143695014,4.0,23302,1
138,Hospital 1022,District 20,Instrument 3,1034.0,1790.2,36082.17345597898,4.0,2206,1
139,Hospital 1022,District 28,Instrument 2,40538.2,87106.83333333333,43563.67746686303,5.0,98832,1
140,Hospital 1022,District 28,Instrument 3,40538.2,1790.2,8155.575221238938,5.0,18204,1
141,Hospital 1022,District 34,Instrument 2,11031.666666666666,87106.83333333333,13357.081534772182,6.0,19836,1
142,Hospital 1022,District 34,Instrument 3,11031.666666666666,1790.2,3073.4128205128204,6.0,13770,1
143,Hospital 1022,District 39,Instrument 2,291648.75,87106.83333333333,39004.34179357022,4.0,26558,1
144,Hospital 1022,District 39,Instrument 7,291648.75,92872.16666666667,50323.93251533742,4.0,721516,1
145,Hospital 1023,District 29,Instrument 2,1185400.6,173525.33333333334,21843.354166666668,5.0,159472,1
146,Hospital 1023,District 29,Instrument 3,1185400.6,18871.0,3221.4953703703704,5.0,159472,1
147,Hospital 1023,District 50,Instrument 3,65021.0,18871.0,22842.88888888889,5.0,19056,1
148,Hospital 1023,District 50,Instrument 4,65021.0,121038.5,99272.89873417722,5.0,175555,1
149,Hospital 1024,District 13,Instrument 2,4620.4,15073.0,126076.28636363636,5.0,145932,1
150,Hospital 1024,District 13,Instrument 3,4620.4,78826.33333333333,25765.941964285714,5.0,6087,1
151,Hospital 1024,District 41,Instrument 3,48263.25,78826.33333333333,26894.46508379888,4.0,199312,1
152,Hospital 1024,District 41,Instrument 5,48263.25,24339.0,11379.309133489462,4.0,16500,1
153,Hospital 1024,District 41,Instrument 8,48263.25,6856.0,20820.0,4.0,9324,1
154,Hospital 1024,District 50,Instrument 3,47212.75,78826.33333333333,22842.88888888889,4.0,34704,1
155,Hospital 1024,District 50,Instrument 7,47212.75,3389.0,12526.34765625,4.0,2520,1
156,Hospital 1025,District 20,Instrument 2,48176.0,4523.0,31891.211143695014,5.0,356076,1
157,Hospital 1025,District 20,Instrument 3,48176.0,272650.5,36082.17345597898,5.0,175032,1
158,Hospital 1025,District 20,Instrument 7,48176.0,31836.5,7843.473584905661,5.0,155100,1
159,Hospital 1025,District 50,Instrument 3,2446855.125,272650.5,22842.88888888889,8.0,9804,1
160,Hospital 1026,District 20,Instrument 2,520.6666666666666,6982.0,31891.211143695014,3.0,72480,1
161,Hospital 1028,District 13,Instrument 3,29092.6,476.5,25765.941964285714,5.0,5694,1
162,Hospital 1028,District 13,Instrument 4,29092.6,531.0,21466.09442724458,5.0,6480,1
163,Hospital 1029,District 28,Instrument 5,23282.833333333332,8.0,4642.685344827586,6.0,23166,1
164,Hospital 1031,District 50,Instrument 5,309157.5,4807.0,150119.26628895185,2.0,12566,1
165,Hospital 1033,District 12,Instrument 2,8979.5,5554.111111111111,88169.7528957529,2.0,13650,1
166,Hospital 1033,District 12,Instrument 3,8979.5,3050.0,22507.63245823389,2.0,12600,1
167,Hospital 1033,District 13,Instrument 2,3926.0,5554.111111111111,126076.28636363636,1.0,63487,1
168,Hospital 1033,District 20,Instrument 2,2699.0,5554.111111111111,31891.211143695014,5.0,5250,1
169,Hospital 1033,District 20,Instrument 3,2699.0,3050.0,36082.17345597898,5.0,19049,1
170,Hospital 1033,District 20,Instrument 7,2699.0,3204.6666666666665,7843.473584905661,5.0,20150,1
171,Hospital 1033,District 32,Instrument 2,1523.5,5554.111111111111,10887.244655581948,4.0,5400,1
172,Hospital 1033,District 32,Instrument 3,1523.5,3050.0,3088.306629834254,4.0,5172,1
173,Hospital 1033,District 32,Instrument 5,1523.5,1291.6666666666667,4146.619047619048,4.0,3000,1
174,Hospital 1033,District 34,Instrument 3,680.4,3050.0,3073.4128205128204,5.0,360,1
175,Hospital 1033,District 41,Instrument 3,5738.0,3050.0,26894.46508379888,2.0,16179,1
176,Hospital 1033,District 50,Instrument 3,6223.0,3050.0,22842.88888888889,1.0,15480,1
177,Hospital 1034,District 13,Instrument 2,23001.8,27756.583333333332,126076.28636363636,5.0,224706,1
178,Hospital 1034,District 13,Instrument 3,23001.8,7583.090909090909,25765.941964285714,5.0,9906,1
179,Hospital 1034,District 20,Instrument 2,17599.8,27756.583333333332,31891.211143695014,5.0,55923,1
180,Hospital 1034,District 20,Instrument 3,17599.8,7583.090909090909,36082.17345597898,5.0,17393,1
181,Hospital 1034,District 41,Instrument 2,12384.75,27756.583333333332,15395.28094302554,4.0,7944,1
182,Hospital 1034,District 41,Instrument 3,12384.75,7583.090909090909,26894.46508379888,4.0,34122,1
183,Hospital 1034,District 50,Instrument 3,29259.75,7583.090909090909,22842.88888888889,4.0,47981,1
184,Hospital 1035,District 13,Instrument 2,36765.25,19724.2,126076.28636363636,4.0,61404,1
185,Hospital 1035,District 13,Instrument 3,36765.25,3873.7,25765.941964285714,4.0,14004,1
186,Hospital 1035,District 17,Instrument 2,1721.0,19724.2,28658.620087336243,3.0,2580,1
187,Hospital 1035,District 17,Instrument 3,1721.0,3873.7,2316.848484848485,3.0,432,1
188,Hospital 1035,District 28,Instrument 2,8948.0,19724.2,43563.67746686303,4.0,36630,1
189,Hospital 1035,District 28,Instrument 3,8948.0,3873.7,8155.575221238938,4.0,7428,1
190,Hospital 1035,District 32,Instrument 3,902.3333333333334,3873.7,3088.306629834254,3.0,1500,1
191,Hospital 1035,District 32,Instrument 5,902.3333333333334,30502.666666666668,4146.619047619048,3.0,1536,1
192,Hospital 1035,District 41,Instrument 3,122.66666666666667,3873.7,26894.46508379888,3.0,12600,1
193,Hospital 1035,District 50,Instrument 2,95127.75,19724.2,174719.4918918919,4.0,109230,1
194,Hospital 1035,District 50,Instrument 3,95127.75,3873.7,22842.88888888889,4.0,19389,1
195,Hospital 1036,District 20,Instrument 2,1111.6666666666667,2410.0,31891.211143695014,3.0,804,1
196,Hospital 1036,District 20,Instrument 3,1111.6666666666667,1089.5,36082.17345597898,3.0,276,1
197,Hospital 1036,District 41,Instrument 2,1276.6666666666667,2410.0,15395.28094302554,3.0,1260,1
198,Hospital 1036,District 41,Instrument 3,1276.6666666666667,1089.5,26894.46508379888,3.0,918,1
199,Hospital 1037,District 10,Instrument 3,11574.2,15049.823529411764,9730.675675675675,5.0,240,1
200,Hospital 1037,District 10,Instrument 4,11574.2,2674.5,1396.5928571428572,5.0,120,1
201,Hospital 1037,District 13,Instrument 2,13824.4,74937.45714285714,126076.28636363636,5.0,9000,1
202,Hospital 1037,District 14,Instrument 2,50540.0,74937.45714285714,5977.482352941176,3.0,178560,1
203,Hospital 1037,District 15,Instrument 3,10071.25,15049.823529411764,562.4619047619047,4.0,7080,1
204,Hospital 1037,District 15,Instrument 5,10071.25,15764.875,4594.217948717948,4.0,58200,1
205,Hospital 1037,District 15,Instrument 7,10071.25,90821.81818181818,7523.063025210084,4.0,1218,1
206,Hospital 1037,District 17,Instrument 2,35172.8,74937.45714285714,28658.620087336243,5.0,656371,1
207,Hospital 1037,District 17,Instrument 3,35172.8,15049.823529411764,2316.848484848485,5.0,26471,1
208,Hospital 1037,District 17,Instrument 4,35172.8,2674.5,293.5487804878049,5.0,4860,1
209,Hospital 1037,District 19,Instrument 2,16889.666666666668,74937.45714285714,27969.565476190477,3.0,13500,1
210,Hospital 1037,District 20,Instrument 2,31001.6,74937.45714285714,31891.211143695014,5.0,5223,1
211,Hospital 1037,District 20,Instrument 3,31001.6,15049.823529411764,36082.17345597898,5.0,1379,1
212,Hospital 1037,District 20,Instrument 7,31001.6,90821.81818181818,7843.473584905661,5.0,468,1
213,Hospital 1037,District 21,Instrument 2,7230.6,74937.45714285714,25273.492063492064,5.0,26760,1
214,Hospital 1037,District 24,Instrument 2,3721.0,74937.45714285714,5534.722222222223,1.0,3000,1
215,Hospital 1037,District 32,Instrument 5,21475.4,15764.875,4146.619047619048,5.0,10800,1
216,Hospital 1037,District 34,Instrument 2,4983.833333333333,74937.45714285714,13357.081534772182,6.0,89976,1
217,Hospital 1037,District 34,Instrument 3,4983.833333333333,15049.823529411764,3073.4128205128204,6.0,70344,1
218,Hospital 1037,District 39,Instrument 2,37232.75,74937.45714285714,39004.34179357022,4.0,179100,1
219,Hospital 1037,District 39,Instrument 4,37232.75,2674.5,30865.62093862816,4.0,120,1
220,Hospital 1037,District 4,Instrument 2,102290.0,74937.45714285714,61335.686930091186,1.0,120450,1
221,Hospital 1037,District 44,Instrument 2,757419.3333333334,74937.45714285714,134584.80909090908,3.0,900000,1
222,Hospital 1037,District 44,Instrument 3,757419.3333333334,15049.823529411764,21512.004587155963,3.0,120,1
223,Hospital 1037,District 48,Instrument 3,10453.666666666666,15049.823529411764,9760.64935064935,3.0,2640,1
224,Hospital 1037,District 48,Instrument 7,10453.666666666666,90821.81818181818,20679.814516129034,3.0,1830,1
225,Hospital 1037,District 49,Instrument 2,41113.0,74937.45714285714,10655.61971830986,1.0,171000,1
226,Hospital 1037,District 50,Instrument 3,16885.333333333332,15049.823529411764,22842.88888888889,3.0,37001,1
227,Hospital 1037,District 8,Instrument 2,2251.5,74937.45714285714,10836.834008097167,2.0,257,1
228,Hospital 1038,District 39,Instrument 2,82359.25,58749.5,39004.34179357022,4.0,5078,1
229,Hospital 1038,District 39,Instrument 7,82359.25,72294.0,50323.93251533742,4.0,1240,1
230,Hospital 1038,District 50,Instrument 3,3715.0,3715.0,22842.88888888889,1.0,4824,1
231,Hospital 104,District 17,Instrument 2,7070.0,26218.363636363636,28658.620087336243,2.0,26935,1
232,Hospital 104,District 18,Instrument 7,45409.25,74881.66666666667,41011.17834394905,4.0,134246,1
233,Hospital 104,District 19,Instrument 5,1092614.75,1231773.3333333333,91437.45161290323,4.0,332610,1
234,Hospital 104,District 20,Instrument 2,43931.0,26218.363636363636,31891.211143695014,3.0,2880,1
235,Hospital 104,District 20,Instrument 3,43931.0,21753.5,36082.17345597898,3.0,2400,1
236,Hospital 104,District 50,Instrument 5,465827.6666666667,1231773.3333333333,150119.26628895185,3.0,694442,1
237,Hospital 104,District 8,Instrument 2,5047.0,26218.363636363636,10836.834008097167,2.0,1080,1
238,Hospital 1044,District 13,Instrument 4,5035.0,1338.75,21466.09442724458,4.0,49263,1
239,Hospital 1044,District 20,Instrument 2,2934.2,8212.454545454546,31891.211143695014,5.0,17556,1
240,Hospital 1044,District 28,Instrument 2,2264.0,8212.454545454546,43563.67746686303,3.0,35520,1
241,Hospital 1044,District 28,Instrument 4,2264.0,1338.75,5271.008595988539,3.0,2160,1
242,Hospital 1047,District 13,Instrument 5,6189.2,11911.5,56086.90536723164,5.0,7530,1
243,Hospital 1047,District 20,Instrument 2,10270.0,11980.25,31891.211143695014,4.0,4520,1
244,Hospital 1047,District 20,Instrument 3,10270.0,3341.3333333333335,36082.17345597898,4.0,2192,1
245,Hospital 1049,District 13,Instrument 2,31698.0,25975.85714285714,126076.28636363636,6.0,157698,1
246,Hospital 1049,District 13,Instrument 3,31698.0,23409.75,25765.941964285714,6.0,24952,1
247,Hospital 1049,District 13,Instrument 4,31698.0,6281.0,21466.09442724458,6.0,360,1
248,Hospital 1049,District 13,Instrument 5,31698.0,34172.75,56086.90536723164,6.0,23994,1
249,Hospital 1049,District 20,Instrument 2,23794.666666666668,25975.85714285714,31891.211143695014,3.0,33102,1
250,Hospital 1049,District 28,Instrument 2,28103.0,25975.85714285714,43563.67746686303,2.0,51002,1
251,Hospital 1049,District 4,Instrument 2,11118.0,25975.85714285714,61335.686930091186,1.0,11562,1
252,Hospital 1049,District 41,Instrument 3,26732.25,23409.75,26894.46508379888,4.0,153102,1
253,Hospital 1049,District 41,Instrument 5,26732.25,34172.75,11379.309133489462,4.0,300,1
254,Hospital 105,District 13,Instrument 2,31871.4,24191.5,126076.28636363636,5.0,10272,1
255,Hospital 105,District 13,Instrument 5,31871.4,8075.0,56086.90536723164,5.0,180,1
256,Hospital 105,District 20,Instrument 2,11777.8,24191.5,31891.211143695014,5.0,3930,1
257,Hospital 105,District 20,Instrument 3,11777.8,3779.875,36082.17345597898,5.0,1077,1
258,Hospital 105,District 50,Instrument 2,9307.666666666666,24191.5,174719.4918918919,3.0,2469,1
259,Hospital 105,District 50,Instrument 3,9307.666666666666,3779.875,22842.88888888889,3.0,5752,1
260,Hospital 1050,District 13,Instrument 2,8246.2,8070.428571428572,126076.28636363636,5.0,822,1
261,Hospital 1051,District 13,Instrument 2,8048.333333333333,33932.555555555555,126076.28636363636,3.0,73731,1
262,Hospital 1051,District 15,Instrument 2,5008.4,33932.555555555555,7663.1949152542375,5.0,30306,1
263,Hospital 1051,District 15,Instrument 3,5008.4,9717.636363636364,562.4619047619047,5.0,840,1
264,Hospital 1051,District 15,Instrument 5,5008.4,5893.5,4594.217948717948,5.0,4500,1
265,Hospital 1051,District 15,Instrument 7,5008.4,3909.1666666666665,7523.063025210084,5.0,12000,1
266,Hospital 1051,District 17,Instrument 2,2313.3333333333335,33932.555555555555,28658.620087336243,3.0,1958,1
267,Hospital 1051,District 17,Instrument 3,2313.3333333333335,9717.636363636364,2316.848484848485,3.0,158,1
268,Hospital 1051,District 18,Instrument 7,1591.0,3909.1666666666665,41011.17834394905,5.0,9076,1
269,Hospital 1051,District 20,Instrument 2,14510.2,33932.555555555555,31891.211143695014,5.0,91715,1
270,Hospital 1051,District 20,Instrument 3,14510.2,9717.636363636364,36082.17345597898,5.0,19796,1
271,Hospital 1051,District 28,Instrument 2,89060.25,33932.555555555555,43563.67746686303,4.0,447846,1
272,Hospital 1051,District 28,Instrument 3,89060.25,9717.636363636364,8155.575221238938,4.0,243027,1
273,Hospital 1051,District 32,Instrument 5,3676.8333333333335,5893.5,4146.619047619048,6.0,3520,1
274,Hospital 1051,District 39,Instrument 2,13037.333333333334,33932.555555555555,39004.34179357022,3.0,2889,1
275,Hospital 1051,District 48,Instrument 7,2815.0,3909.1666666666665,20679.814516129034,3.0,13344,1
276,Hospital 1052,District 13,Instrument 2,5917.4,12662.625,126076.28636363636,5.0,27486,1
277,Hospital 1052,District 13,Instrument 3,5917.4,368.3333333333333,25765.941964285714,5.0,1489,1
